,Batch,Condition,FFT Average,FFT Average (smoothed),Spacing / nm,Transform
2,2,1,22.133723897032485,19.336412338863735,11.246425263465575,2
3,2,1,17.27497842585349,19.949296678038966,10.62162385993971,2
4,2,1,18.788729129234895,19.906165405689595,10.062591025206041,2
5,2,1,20.894355618357764,20.213314122380652,9.559461473945738,2
6,2,1,26.315803700934914,20.516321565374554,9.104249022805465,2
7,2,1,22.174432273207053,21.19801008095017,8.690419521768852,2
8,2,1,24.33803916929387,21.6044573611288,8.312575194735425,2
9,2,1,20.87321996382745,21.2504082920359,7.966217894954782,2
10,2,1,29.6470838816318,21.55612957337161,7.647569179156591,2
11,2,1,36.46794091538594,22.184325611584583,7.353431903035183,2
12,2,1,38.16182706781801,23.301276924024773,7.0810825732931395,2
13,2,1,30.99343192393163,25.188194003870695,6.828186767104099,2
14,2,1,18.90510140022074,25.993622006316073,6.592732050997061,2
15,2,1,17.89745732388196,26.141815003985823,6.372974315963826,2
16,2,1,31.03850078950498,26.060790294408285,6.1673944993198315,2
17,2,1,19.69838486963141,26.982985309967116,5.9746634212160865,2
18,2,1,29.02803869402153,26.381401779848616,5.793613014512569,2
19,2,1,25.554131593440907,27.00445690901357,5.6232126317327875,2
20,2,1,25.576493804851378,27.11501076575421,5.462549413683279,2
21,2,1,16.147853385693573,27.54258111493821,5.310811929969855,2
22,2,1,15.694835823850951,26.315378342580185,5.167276472403102,2
23,2,1,17.843436439395163,24.42691424334973,5.0312955126030205,2
24,2,1,15.480237585924659,22.579787822584017,4.902287935356789,2
25,2,1,18.208915901255462,21.16949742821975,4.779730736972869,2
26,2,1,21.180216737828324,21.106207837404725,4.663151938510116,2
27,2,1,16.346568627788635,21.404640511399847,4.552124511402733,2
28,2,1,12.078493765402158,20.069010314880185,4.446261150672436,2
29,2,1,19.286055823254998,19.37629294176843,4.345209760884426,2
30,2,1,14.087543388318533,18.490658135335106,4.248649543975883,2
31,2,1,14.238297222226995,17.44824102577853,4.1562875973677125,2
32,2,1,18.242187078823907,16.417495881903587,4.067855946359889,2
33,2,1,13.227188029495114,16.607889854006345,3.983108947477391,2
34,2,1,15.477765738078128,16.383558236337635,3.9018210097737707,2
35,2,1,14.65306405493548,16.16849726349063,3.8237845895782954,2
36,2,1,18.27830304843958,16.09329966976434,3.7488084211551915,2
37,2,1,14.213983435596834,16.09960759223562,3.6767159515175916,2
38,2,1,18.994671814217092,15.466313655669124,3.607343952432354,2
39,2,1,17.023629642776612,15.707050308980804,3.5405412866465698,2
40,2,1,15.965170817564754,16.156608116014844,3.476167808707541,2
41,2,1,16.85804054976308,15.85470947913391,3.4140933835520495,2
42,2,1,19.365475527238623,16.106572857447052,3.3541970084020134,2
43,2,1,18.344770603023637,16.572679976084473,3.2963660254985303,2
44,2,1,20.393325613010667,16.58200575101172,3.2404954148968605,2
45,2,1,13.979999923550967,17.23347280405859,3.186487157981913,2
46,2,1,19.994459613547455,17.09731227546521,3.1342496635887667,2
47,2,1,15.206880674997635,17.582893689884482,3.0836972496599158,2
48,2,1,14.628522377110121,17.303673474117033,3.0347496742684883,2
49,2,1,14.03326399714803,17.341358832436423,2.9873317106080433,2
50,2,1,11.79826384350866,16.890321758157416,2.9413727612140734,2
51,2,1,12.995884421467565,16.415288503678514,2.8968065072562843,2
52,2,1,15.058319655970902,16.145353376760585,2.853570589237534,2
53,2,1,17.271639195236503,15.981742386415844,2.8116063158663938,2
54,2,1,12.969655381949034,15.791393628961105,2.7708583982451414,2
55,2,1,15.238286142051871,15.302746790681594,2.7312747068416394,2
56,2,1,15.067640579822875,14.834106838776249,2.6928060489987997,2
57,2,1,13.263818350433121,14.932983262073693,2.6554059649849275,2
58,2,1,15.821839206065201,14.321106783608757,2.6190305408070516,2
59,2,1,14.29950153193567,14.377012104614899,2.583638236201551,2
60,2,1,14.965422890470574,14.34710111868995,2.54918972638553,2
61,2,1,18.655328447845797,14.431842836264725,2.5156477563015103,2
62,2,1,11.956524305069323,15.055212345749919,2.4829770062196723,2
63,2,1,16.059070297219353,14.960725062440991,2.4511439676783944,2
64,2,1,13.585579759589937,15.051702393463575,2.4201168288470223,2
65,2,1,17.18915366945329,14.716606081132069,2.3898653684864346,2
66,2,1,16.37377494240321,15.100196834541547,2.36036085776438,2
67,2,1,10.520691867444237,15.203423089118939,2.331575969255058,2
68,2,1,12.36244106183892,14.790064115266336,2.3034846925170456,2
69,2,1,12.833279277225852,14.708120725394137,2.2760622557013663,2
70,2,1,11.396607103173604,14.436433459136014,2.2492850526931147,2
71,2,1,9.705912166545291,14.172533965612189,2.223130575336218,2
72,2,1,11.51180579064621,13.694396627073528,2.1975773503323537,2
73,2,1,14.412046411747095,13.044985476419022,2.172604880442213,2
74,2,1,15.192839280362273,13.268214758844273,2.148193589650728,2
75,2,1,12.98312110427535,13.189466484584539,2.1243247719879417,2
76,2,1,14.26550939718119,13.134697515919576,2.1009805437243383,2
77,2,1,12.158120394380227,12.868911672985751,2.0781437986838562,2
78,2,1,16.2293330627408,12.485670350438205,2.055798166439944,2
79,2,1,12.126775671807808,13.004637731828803,2.0339279731799444,2
80,2,1,10.894006001470185,12.983213605462339,2.012518205041208,2
81,2,1,13.581045046151335,12.806916034939094,1.9915544737386954,2
82,2,1,10.41150128179269,13.005501302482521,1.971022984318709,2
83,2,1,13.998794873490175,13.069645767505015,1.9509105048868853,2
84,2,1,14.448067092531806,13.295735684127193,1.9312043381708563,2
85,2,1,12.000552450388149,13.299010291471257,1.9118922947891477,2
86,2,1,11.087174364244822,13.008802397837247,1.892962668108067,2
87,2,1,10.068871490511304,12.836443603289014,1.8744042105775958,2
88,2,1,12.87478082617832,12.454931066319027,1.8562061114457744,2
89,2,1,16.129110979750315,12.520082014664307,1.8383579757587958,2
90,2,1,11.95878781221098,12.510970916210626,1.820849804561093,2
91,2,1,15.013214444773894,12.495699292610915,1.803671976216177,2
92,2,1,11.861421513487212,12.870172787456708,1.7868152287749044,2
93,2,1,12.884995312837907,12.713843375396333,1.7702706433232849,2
94,2,1,12.922867516175426,12.938706469127716,1.7540296282469245,2
95,2,1,10.582225241086993,12.840894891190015,1.7380839043537706,2
96,2,1,11.066135291524795,12.489454722876848,1.722425490801034,2
97,2,1,15.366602714989835,12.404507708434723,1.7070466917760247,2
98,2,1,8.795200535736479,12.793546649411542,1.6919400838842016,2
99,2,1,12.754650074122006,12.67775838079565,1.6770985042010067,2
100,2,1,13.619028338072582,12.666837403335988,1.6625150389470849,2
101,2,1,15.137175653636072,12.438648072274374,1.6481830127492652,2
102,2,1,12.501544239866586,12.727592421494837,1.634095978452263,2
103,2,1,10.05940513095001,12.499258766503266,1.6202477074484303,2
104,2,1,13.293469500802141,12.335439095363519,1.606632180495082,2
105,2,1,10.693759069373646,12.372573112451175,1.5932435789909565,2
106,2,1,12.586159460073894,12.169926890014652,1.580076276685246,2
107,2,1,9.944058238252266,12.352102728104368,1.5671248317943833,2
108,2,1,17.393712412460626,12.250095723261412,1.554383979503372,2
109,2,1,16.92522689495814,12.434378423031482,1.5418486248299579,2
110,2,1,13.347865498333466,13.173471728415269,1.529513835831318,2
111,2,1,12.440285160554968,13.227400403343585,1.5173748371342441,2
112,2,1,14.466783933464578,13.120241932660166,1.5054270037709825,2
113,2,1,9.3386274942621,13.059297230826393,1.4936658553040216,2
114,2,1,11.75991265204074,12.771759344862348,1.4820870502241454,2
115,2,1,10.87345535064762,12.926350937688778,1.4706863806070367,2
116,2,1,11.289924489315217,12.706349651311093,1.4594597670146165,2
117,2,1,9.687810186421626,12.76054650766942,1.4484032536281422,2
118,2,1,11.754456295771732,12.497060210064665,1.437513003600863,2
119,2,1,10.696166009478395,12.661641851657345,1.426785294618767,2
120,2,1,10.848237565908725,12.052773996840779,1.4162165146586279,2
121,2,1,15.96593348853375,11.50032042147265,1.4058031579331969,2
122,2,1,10.503299102354962,11.73832660239995,1.3955418210139765,2
123,2,1,11.507450807892678,11.562236960745402,1.3854291991225707,2
124,2,1,12.945610334569432,11.293206676602503,1.3754620825821207,2
125,2,1,12.647870391672246,11.621114207539533,1.3656373534208197,2
126,2,1,8.293615019497238,11.701837638415126,1.3559519821199628,2
127,2,1,11.677695883152307,11.467306699219636,1.3464030244993999,2
128,2,1,12.615286506125592,11.502558644113918,1.3369876187336698,2
129,2,1,11.64884125728085,11.768692854996097,1.3277029824924638,2
130,2,1,10.334259189349474,11.75909148786056,1.3185464101994122,2
131,2,1,11.9501731536273,11.72619086784884,1.3095152704035258,2
132,2,1,16.382371372898625,11.82636683036871,1.3006070032579236,2
133,2,1,12.113972264231776,11.864224819856428,1.2918191181007754,2
134,2,1,11.75434534467432,12.010649652754323,1.283149191133656,2
135,2,1,11.522022957613098,12.03309461064356,1.274594863192765,2
136,2,1,10.201694309797933,11.903677576374804,1.2661538376087071,2
137,2,1,12.60125831559829,11.681297932568048,1.2578238781507551,2
138,2,1,10.205822227721223,12.072901868577231,1.2496028070517304,2
139,2,1,10.898710840077335,11.939095172628953,1.2414885031098362,2
140,2,1,11.560056036792314,11.78304283935184,1.2334788998639663,2
141,2,1,12.567990356754235,11.774971455671063,1.2255719838391972,2
142,2,1,12.380403330363004,11.978037925435132,1.2177657928593297,2
143,2,1,10.70575496303795,12.017149759683832,1.2100584144235111,2
144,2,1,10.469736393521172,11.501093722423773,1.202447984144118,2
145,2,1,11.575406757548308,11.351617734177353,1.1949326842432173,2
146,2,1,10.692536259392407,11.335350589893169,1.1875107421050606,2
147,2,1,12.401403042425574,11.259942708236743,1.18018042888219,2
148,2,1,10.090566618308625,11.45991622938471,1.1729400581528513,2
149,2,1,12.210263965784169,11.231671529631106,1.165787984627529,2
150,2,1,12.404339495188193,11.413893505818645,1.1587226029025137,2
151,2,1,13.4883063523722,11.55076883810145,1.1517423462585228,2
152,2,1,12.726524660842035,11.726064321335986,1.1448456855024836,2
153,2,1,10.637124169335127,11.740476530798514,1.1380311278506832,2
154,2,1,11.171415719678635,11.581996607068705,1.1312972158515666,2
155,2,1,13.065975865813039,11.62432940312695,1.1246425263465574,2
156,2,1,13.0584046510588,11.860351173335301,1.1180656694673379,2
157,2,1,14.423931302225313,11.995169163654436,1.111565287668109,2
158,2,1,10.954249822094614,12.334386894821064,1.1051400547914147,2
159,2,1,12.805829558979266,12.202827511154613,1.0987886751661768,2
160,2,1,9.890504432875506,12.449669596670127,1.0925098827366557,2
161,2,1,12.203116977881969,12.238782366405703,1.0863024402211066,2
162,2,1,13.077678541247488,12.220489410286955,1.0801651382989534,2
163,2,1,12.98155354422251,12.183159609275616,1.074096794825364,2
164,2,1,11.72431649856686,12.206344053219299,1.0680962540721495,2
0,1,1,15.777159050788487,16.433420537357932,18.028978465405803,2
1,1,1,19.4497086182855,16.4487824410199,16.90216731131794,2
2,1,1,14.90369168648842,16.827911250333457,15.90792217535806,2
3,1,1,16.283023884247196,16.524882933923827,15.024148721171501,2
4,1,1,15.675753892103799,15.782111963553634,14.233404051636159,2
5,1,1,18.058061415085263,16.10201520393912,13.521733849054351,2
6,1,1,13.199812851168243,15.960675548586995,12.877841761004143,2
7,1,1,19.98158415559285,15.721029776364508,12.292485317322138,2
8,1,1,13.006324677036227,16.145523204285414,11.758029433960305,2
9,1,1,13.074477816473273,15.905454432814128,11.268111540878627,2
10,1,1,23.928634145411145,15.660418271619228,10.817387079243481,2
11,1,1,17.951739693953616,16.6671120175164,10.40133373004181,2
12,1,1,13.216610001269895,16.864801166895045,10.016099147447667,2
13,1,1,17.195975264591574,16.29815583807545,9.658381320753108,2
14,1,1,20.645739473927808,16.50654525426664,9.325333689003001,2
15,1,1,15.347418929465352,16.903155762419427,9.014489232702902,2
16,1,1,21.213488084219946,16.873307129452296,8.72369925745442,2
17,1,1,12.061557801843776,17.16016409937363,8.45108365565897,2
18,1,1,22.1294186199445,17.056686367616862,8.194990211548092,2
19,1,1,25.48303736964153,17.251944046194282,7.95396108767903,2
20,1,1,17.728965131477345,18.386190654612946,7.726705056602486,2
21,1,1,22.39377460328664,18.80932586506786,7.512074360585751,2
22,1,1,16.202432511605657,18.66979317942018,7.309045323813163,2
23,1,1,18.768606614376804,18.510765253752183,7.116702025818079,2
24,1,1,22.559922711906868,19.015492218580082,6.934222486694539,2
25,1,1,14.96267805817852,19.503123804699655,6.760866924527176,2
26,1,1,18.314505149264487,18.986481857813356,6.5959677312460245,2
27,1,1,17.173265221867943,19.256216968704187,6.438920880502072,2
28,1,1,23.672187877288454,18.888923981217644,6.289178534443884,2
29,1,1,16.553654437365182,19.944435806258067,6.146242658661069,2
30,1,1,21.780715849625928,19.437548153296312,6.009659488468601,2
31,1,1,15.718364131517816,19.10097346965853,5.879014716980152,2
32,1,1,21.754096748508324,18.918191560571298,5.753929297469937,2
33,1,1,21.841391783199164,18.860039028318724,5.634055770439313,2
34,1,1,22.278587562654664,19.372671689372677,5.519075040430347,2
35,1,1,36.451643403034986,19.69176086648885,5.408693539621741,2
36,1,1,12.601006256841965,20.95464456568231,5.302640725119353,2
