Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
37.00833511,141.5384674,37.04420853,88.09236908,37.08089447,61.71648788,37.11606598,442.2647705,37.2633934,145.1091003,37.22889328,95.10584259,37.19314957,59.23058319,37.15775299,452.1527405,37.30614471,121.4517593,37.34104156,87.18388367,37.37678909,57.23967743,37.413414,412.3856812,
38.00833511,140.3931885,38.04471207,87.51570129,38.0802269,62.05363846,38.11641693,439.6037598,38.26639557,144.370224,38.22887421,93.76805878,38.19279099,59.20261765,38.15723038,452.8923645,38.30620956,121.2256165,38.34156036,85.95681,38.37678909,57.56190872,38.4131279,408.9233093,
39.00833511,138.0294037,39.04420853,88.4041748,39.0797081,63.01524353,39.11587143,437.6452332,39.26358414,145.4507751,39.2277298,94.92347717,39.19120789,59.43916321,39.15591812,449.8769226,39.30314636,120.44841,39.33839417,86.17372131,39.37429047,56.8639679,39.41008377,407.0635681,
40.00833511,139.3274994,40.04354095,87.05393219,40.07987595,62.55348206,40.11554337,440.2949524,40.26437759,144.1646576,40.2287941,93.37828827,40.19306183,59.52083206,40.15654373,453.5495605,40.3056221,121.5254135,40.34104156,86.14157104,40.37720871,57.18704605,40.41337585,408.9790649,
41.00833511,139.3604431,41.04362488,86.23110199,41.0797081,61.56071091,41.11487579,445.5142517,41.26237488,146.8657379,41.22714615,94.18023682,41.19137192,59.48004532,41.15537643,449.3788757,41.30387497,120.6923752,41.33954239,85.76528931,41.37439728,57.18066025,41.41031265,408.067688,
42.00833511,140.6924591,42.04487228,87.76522064,42.08012772,62.71548462,42.1162262,444.6211243,42.26258087,144.9547119,42.22704315,93.66133118,42.19137192,59.397789,42.15491486,453.2848816,42.30187607,119.0173187,42.33824921,86.7371521,42.37429047,57.66035843,42.41006088,407.2848206,
43.00833511,141.4230194,43.04524994,86.54536438,43.0808754,62.36778641,43.11656189,441.8008423,43.2660408,144.1317139,43.23104095,94.81455994,43.19529343,59.47225571,43.15914536,451.0673828,43.30539703,120.6177139,43.34172821,86.6212616,43.37706375,57.7094574,43.41308212,408.2674255,
44.00833511,139.8778381,44.04514694,87.31545258,44.08124924,62.33026123,44.116539,442.5336914,44.26231384,144.2531128,44.22695541,93.68081665,44.19222641,59.6904068,44.15547943,455.4030151,44.30472946,120.3748016,44.34070587,86.80073547,44.37439728,57.30168533,44.41031265,408.0710449,
45.00833511,141.103653,45.04524994,88.16316986,45.08081055,62.49476242,45.11637497,442.2962952,45.26387405,143.9033966,45.22780991,94.44442749,45.19170761,59.67621994,45.15525055,452.4980774,45.30412674,119.0000153,45.33922958,86.92408752,45.37562561,56.72068787,45.41104507,406.414093,
46.00833511,141.9617615,46.04406357,85.97680664,46.08003998,62.1524353,46.11631393,442.0576172,46.26362228,145.5568848,46.22795868,94.46182251,46.19174957,58.82275391,46.15587616,468.0470886,46.30456161,120.9889755,46.34073257,86.7627182,46.37779236,56.87320709,46.41255951,407.4178772,
47.00833511,140.4835358,47.04354095,86.6398468,47.07875061,62.31603241,47.11479187,443.4972229,47.26153946,144.9062958,47.22491837,93.42816925,47.19047928,59.36675644,47.15446091,469.284668,47.30112457,120.4318237,47.33720779,86.73490906,47.37287521,57.40996552,47.40872955,406.509552,
48.00833511,141.1967773,48.04512405,86.02857971,48.08012772,63.1160202,48.11639404,444.7308044,48.26304245,145.4086304,48.22737503,93.87078857,48.19339752,60.26830292,48.15758514,466.2275085,48.30295944,121.7094574,48.33887482,86.81587982,48.37389755,57.39530563,48.409729,403.5497742,
49.00833511,140.4486847,49.04387665,86.90296936,49.07954025,62.17123032,49.11556244,441.9129028,49.26437759,144.833374,49.22806549,93.53713226,49.19237518,60.23553848,49.15729141,462.4386902,49.30454254,119.1444397,49.33921051,87.49337769,49.37514496,57.03200912,49.41114426,403.4356689,
50.00833511,139.5006104,50.04408264,87.19660187,50.08020782,62.16567993,50.11672592,438.7391968,50.26487732,144.3199768,50.22920609,93.37539673,50.19406509,59.55847931,50.15756607,455.7954407,50.30698013,120.6903839,50.34287643,85.64562225,50.37929153,57.67074585,50.41487503,403.7672729,
51.00833511,140.4991913,51.04572678,86.09393311,51.08156204,63.92464828,51.11698151,438.6181335,51.26408386,145.0039673,51.2287941,93.77884674,51.19287491,59.73198318,51.15704346,451.1967163,51.304039,121.5085297,51.34012604,85.98353577,51.37572861,57.63715744,51.41156387,404.385498,
52.00833511,141.5053253,52.04491806,85.80236053,52.08024979,62.9281044,52.11639404,439.2134094,52.26304245,144.2471313,52.22670746,93.00778198,52.19197845,60.21331787,52.15620804,449.5257568,52.30264664,120.9733124,52.33862305,86.2730484,52.37321091,57.80514145,52.40898132,402.6376038,
