Sample F9,,Sample F10,,Sample F11,,Sample F12,,Sample G9,,Sample G10,,Sample G11,,Sample G12,,Sample H9,,Sample H10,,Sample H11,,Sample H12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
38.50166702,160.787323,38.52275085,251.2904358,38.5459404,199.3449554,38.56891632,334.1686707,38.66291428,225.4222717,38.63993835,224.5102081,38.61741638,251.9815826,38.59600067,317.8005981,38.69150162,87.16677094,38.71352005,72.09054565,38.73474884,82.24984741,38.75743866,78.77141571,
39.00166702,163.055481,39.02333069,257.0335999,39.04558563,197.0989227,39.06779099,330.7697144,39.16274643,225.4071808,39.14083099,216.9268799,39.11862564,253.6889343,39.09558487,317.099823,39.18878937,87.27593994,39.21108246,73.34020996,39.2334404,81.63236237,39.25585556,79.92329407,
39.50166702,161.5125732,39.52512741,257.0656128,39.54733658,199.4405365,39.57025146,333.6217651,39.66685486,230.0961456,39.64424896,220.5883179,39.62133408,249.4358978,39.59875107,317.3091736,39.69283295,86.9226532,39.715271,74.37839508,39.73727036,81.48410797,39.75891495,80.6720047,
40.00166702,162.8937225,40.02283478,258.4003906,40.04391861,195.4902496,40.06743622,331.0061646,40.15977097,231.9999237,40.13850021,219.9972076,40.11577225,255.42099,40.09308243,323.3950195,40.18793869,87.64434052,40.21076965,72.49997711,40.23360443,80.77335358,40.25643539,80.62478638,
40.50166702,161.3365631,40.524086,254.8805847,40.54627228,198.2568817,40.56927109,338.1098938,40.66560364,231.2436829,40.64341736,216.9722443,40.62046051,254.8660583,40.59758377,316.8541565,40.69327164,87.07010651,40.71616745,72.64689636,40.73875046,80.91394043,40.76175308,80.22194672,
41.00166702,163.3798981,41.02329254,260.151947,41.04616547,197.6625366,41.0672493,342.152832,41.16166687,227.6141205,41.13950348,218.7232513,41.1167717,253.087616,41.09445953,324.9764404,41.18893814,87.86118317,41.21099854,73.50200653,41.23333359,79.11307526,41.2547493,80.26048279,
41.50166702,165.6648712,41.52508163,256.629364,41.54676819,198.7716217,41.56862259,345.624054,41.66326904,225.9308777,41.64027023,218.8908386,41.61735535,253.3814545,41.59460449,326.0531616,41.69144058,86.13294983,41.71333313,73.89001465,41.73541641,80.78830719,41.75743866,80.02589417,
42.00166702,162.2624817,42.02325058,257.7466431,42.04527283,199.8419189,42.06862259,342.6564636,42.16479111,226.7154541,42.14208221,214.401474,42.11927032,254.0826569,42.09674835,320.9826965,42.19293594,88.12666321,42.21618652,73.70448303,42.23826981,80.83276367,42.2612915,79.56542969,
42.50166702,164.5973206,42.52376938,260.5487976,42.54666901,197.0297394,42.5677681,344.8592834,42.66412354,227.6116791,42.6412735,216.0186005,42.61841583,251.7271118,42.59601974,323.3623352,42.69212723,85.90699768,42.71533203,72.87693787,42.73725128,80.27066803,42.76010513,80.10578156,
43.00166702,163.9949341,43.02416611,258.8737488,43.04568863,199.4684753,43.0684166,342.6002808,43.16333389,229.8137207,43.14149857,215.5247345,43.11895752,250.2037659,43.09627151,322.5563354,43.19041824,84.60092163,43.21333313,74.00522614,43.23458099,81.14298248,43.25760651,81.19248962,
43.50166702,165.5037384,43.52375031,255.4673309,43.54595947,198.8667755,43.56941605,344.4653015,43.66485596,231.826889,43.64276886,217.3184509,43.6202507,251.7146759,43.59733582,328.5828552,43.6919136,86.73078156,43.7141037,73.56778717,43.7369194,79.76222992,43.7587471,79.41798401,
44.00166702,164.6267853,44.02375031,263.8017273,44.04641342,200.307312,44.06929016,352.1650696,44.16477203,227.8964691,44.14291763,215.071701,44.12033463,248.3051758,44.097435,328.059967,44.19174957,87.08220673,44.21376801,72.44567871,44.23633194,80.5790329,44.25975037,79.28625488,
44.50166702,167.2572937,44.52483368,262.7445984,44.54758453,200.1449127,44.56978989,352.741394,44.66551971,229.233963,44.64276886,213.5616608,44.62075043,251.0892181,44.5980835,335.7751465,44.69410324,87.69044495,44.71668625,73.86921692,44.73991776,80.1784668,44.76277161,81.15717316,
45.00166702,165.6765442,45.02326965,264.7955322,45.04543686,201.107132,45.06829071,354.0654602,45.16450119,225.660675,45.1421051,224.1596375,45.1194191,254.951355,45.09641647,330.4264221,45.19243622,88.40136719,45.21412277,73.37424469,45.23725128,80.79349518,45.25995636,81.5390625,
45.50166702,167.5196381,45.52293777,264.3859558,45.5459137,198.4811859,45.56816864,351.5090332,45.66352081,225.9417725,45.64079285,221.7406769,45.61891556,252.0239105,45.59627151,333.276825,45.69029236,88.56282043,45.71341705,74.76274872,45.73543549,80.14568329,45.758461,78.56078339,
