Sample A1,,Sample A2,,Sample A3,,Sample B1,,Sample B2,,Sample B3,,Sample C1,,Sample C2,,Sample C3,,Sample D1,,Sample D2,,Sample D3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
79.0008316,142.6609955,79.02076721,2.705005884,79.04169464,65.63002014,79.10832977,129.5389099,79.08716583,3.820030451,79.06559753,68.99729156,79.13218689,133.3842926,79.15354156,2.738995075,79.17366791,70.79575348,79.241745,187.7571259,79.22049713,3.132573366,79.20024872,61.46224213,
80.0008316,137.247345,80.02127075,2.678634405,80.04199982,66.46218109,80.10933685,131.9486694,80.08808899,3.657347679,80.06721497,68.03598022,80.13337708,132.3694153,80.15457916,2.875188589,80.17500305,70.65814209,80.24182892,193.8330994,80.22067261,3.007733107,80.20024872,63.59391785,
81.0008316,140.9824829,81.02066803,2.613946915,81.04254913,67.27845764,81.11060333,131.4877319,81.08951569,3.707106829,81.06833649,68.64925385,81.13685608,133.8883057,81.15808105,2.650037527,81.17900085,70.68325043,81.24716949,188.5801239,81.22610474,3.356445074,81.20502472,60.62366486,
82.0008316,138.8607635,82.02165985,2.764919758,82.04251862,65.10250092,82.11116791,129.9847107,82.09033203,3.866535187,82.06900024,71.10675049,82.13487244,135.2338562,82.15599823,2.833413839,82.17744446,69.96881866,82.24327087,188.0297546,82.22202301,3.004366636,82.201828,62.08361816,
83.0008316,137.1958466,83.02119446,2.466738224,83.04208374,65.9383316,83.11100006,130.9934387,83.08958435,3.857740879,83.06851959,67.56330872,83.13535309,133.7025604,83.15568542,2.628658772,83.17671204,69.98929596,83.24466705,191.0197296,83.22325134,3.273963451,83.20283508,63.18635559,
84.0008316,137.4792175,84.02116394,2.769971848,84.04202271,66.5577774,84.11019135,131.5775299,84.08983612,3.415775776,84.06900024,69.71615601,84.13687134,133.816391,84.15799713,2.811897516,84.17849731,70.08387756,84.24666595,192.2505035,84.22616577,3.040595531,84.20487213,60.25286865,
85.0008316,142.1352844,85.02124786,2.542669535,85.04249573,65.37996674,85.11116791,129.6341705,85.08974457,3.890282869,85.0693512,70.80562592,85.13558197,135.7610474,85.15650177,2.75795722,85.17749786,71.77727509,85.24333191,189.1698151,85.22216797,3.211542368,85.2012558,61.33124924,
86.0008316,141.8468323,86.02085876,2.73842597,86.04199982,66.17392731,86.10935211,130.3379211,86.08899689,3.830463171,86.06833649,70.20717621,86.13583374,131.2648163,86.15703583,2.675553799,86.17790985,70.71934509,86.24368286,190.8842468,86.22318268,3.106667519,86.20200348,62.01676941,
87.0008316,140.2589874,87.02165985,2.665253639,87.04187775,66.01411438,87.10991669,132.8340607,87.08951569,3.681833029,87.0684967,68.9372406,87.13619232,132.7835388,87.1574173,2.890854597,87.17816925,68.24803162,87.24599457,189.0823822,87.22616577,3.262835979,87.20443726,60.31356049,
88.0008316,140.5144806,88.02158356,2.460889578,88.04283142,65.69596863,88.10918427,129.1715088,88.08850098,3.910864592,88.06741333,68.42018127,88.13525391,132.1094818,88.15650177,2.879576921,88.17653656,69.36982727,88.24453735,191.6777649,88.22385406,3.197385788,88.20283508,61.72829819,
