Sample E1,,Sample E2,,Sample E3,,Sample F1,,Sample F2,,Sample F3,,Sample G1,,Sample G2,,Sample G3,,Sample H1,,Sample H2,,Sample H3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
29.00083351,33.89449692,29.02083397,9.57919693,29.04150009,273.7913513,29.10966682,35.15504456,29.08933258,11.20950222,29.06850052,270.1523438,29.1363945,32.52123642,29.15666771,8.060319901,29.17806244,245.796524,29.24441719,137.2230682,29.22375107,13.00277996,29.20248032,242.8252411,
30.00083351,32.93467712,30.02135468,9.097081184,30.04218674,263.078064,30.11014557,33.6712532,30.08914566,10.91953564,30.06864548,271.0523376,30.13666534,31.09358788,30.15731239,8.206330299,30.1783123,248.7028961,30.24589729,136.5347748,30.22535324,12.7079916,30.20468712,242.0661774,
31.00083351,34.49348831,31.02202225,9.555628777,31.04314613,269.6053772,31.10906219,34.03633118,31.08789635,11.19041157,31.06731224,263.3287354,31.13547897,31.21548462,31.156147,7.992072105,31.17714691,236.3630676,31.24547958,144.744339,31.22408295,13.26845169,31.20335579,246.1553345,
32.00083542,33.35044479,32.02098083,10.14931107,32.04164505,258.9737244,32.10966492,33.90177155,32.08948135,11.69920349,32.06800079,265.1500244,32.13606262,31.48433876,32.15708542,8.073281288,32.17824936,246.8829498,32.24599838,143.9826813,32.22481155,12.77002716,32.20383453,246.6635437,
33.00083542,34.59957123,33.02066803,9.439052582,33.04199982,265.5112,33.10831451,33.39543152,33.08750153,10.81882668,33.06652069,270.2232361,33.13483429,31.90404892,33.15383148,8.261787415,33.17514801,245.3705444,33.24283218,146.8745575,33.222332,12.84620857,33.20100021,245.3291931,
34.00083542,35.17524338,34.02264786,9.06167984,34.04333115,269.2078857,34.10972977,34.69836807,34.0894165,10.90073681,34.06806183,270.8902283,34.13664627,31.62528992,34.15749741,8.339920044,34.17824936,243.6209412,34.24635315,146.6624603,34.22581482,13.59698486,34.20450211,246.3330383,
35.00083542,34.04917526,35.02035141,9.798841476,35.04183197,262.8565979,35.10706329,34.03874969,35.08589554,11.60196018,35.06608582,273.3945007,35.1309166,31.97281456,35.15230942,8.128919601,35.17266846,243.1517639,35.24100113,150.3607483,35.2206459,12.44900131,35.19947815,244.7792664,
36.00083542,33.89043427,36.02164841,9.674574852,36.0422287,265.3932495,36.11064529,33.5541954,36.08964539,11.26907825,36.06864548,269.5457764,36.13681412,32.67856216,36.1581459,8.484737396,36.17897797,242.2213745,36.24481201,150.4170837,36.2243309,12.93910694,36.20299911,252.4360046,
37.00083542,34.06388092,37.02114487,9.934465408,37.04189301,265.9422607,37.11049652,34.10543823,37.08885574,11.13416862,37.06874847,267.3500671,37.13514328,31.48217964,37.15556335,8.163644791,37.17616653,246.3839874,37.24250031,149.9855804,37.22200012,12.97498417,37.20118713,238.1888428,
38.00083542,34.49861908,38.0225029,9.529332161,38.04368973,262.5408325,38.10974884,33.86856079,38.08930969,11.6566658,38.06866837,269.9445496,38.13464737,31.68910027,38.15581131,8.012005806,38.17650223,244.4082642,38.24281311,152.8119049,38.22247696,12.77816868,38.20183563,243.2298889,
39.00083542,33.35654831,39.02114487,10.23984146,39.04206085,270.0137939,39.10972977,32.73170471,39.0893364,11.84688759,39.06839752,264.4024048,39.13618469,32.03033447,39.15752029,7.977063656,39.17833328,241.942627,39.24585342,156.2458496,39.22491837,13.30264282,39.20466614,241.8290863,
40.00083542,34.16834259,40.02181244,10.21656609,40.04207993,266.3569031,40.11131287,34.14553452,40.08964539,11.18512058,40.0688324,258.1604004,40.13731384,31.52747536,40.15839386,8.146026611,40.17933273,241.315155,40.24575043,154.5774536,40.22455978,12.85504055,40.20391846,236.6281738,
