Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample D1,,Sample D2,,Sample D3,,Sample D4,,Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
27.00083351,7.442793369,27.02170753,6.318192482,27.04220772,10.86085415,27.06331253,15.27937984,27.1506443,12.47054386,27.13031197,9.066708565,27.10989571,57.44345093,27.08883286,89.41417694,27.17781258,16.01027107,27.19814682,10.72768593,27.21820831,18.92170143,27.23937607,23.49450874,27.32729149,17.03115845,27.30664635,12.28972626,27.28612518,127.7735062,27.265728,139.5142822,27.35381317,54.43691254,27.3743763,38.90641403,27.39472771,56.9749794,27.4159584,63.98873901,27.50448036,15.44583511,27.48395729,14.64888191,27.46287346,78.37693787,27.4420414,82.12429047,
28.00083351,6.414787769,28.02095795,5.83022356,28.04214668,12.43292046,28.0625,13.83052254,28.15131187,12.75899982,28.13045883,9.518759727,28.11006355,57.5330658,28.08899879,89.8371582,28.17762375,17.4760952,28.19881248,11.5146389,28.21899986,19.90343285,28.24004173,23.28523827,28.32820892,16.72194481,28.30797958,14.03499126,28.28695869,120.1836548,28.26670647,147.1787872,28.35448074,53.77910995,28.37495995,41.3613739,28.39614677,55.11582565,28.41706276,64.58551788,28.50564575,17.93697739,28.4851265,14.77022648,28.46372795,74.42644501,28.44250107,83.47480011,
29.00083351,6.947877407,29.02095795,5.603549004,29.04131317,12.05582047,29.0625,14.86099052,29.15097809,12.83243465,29.1296463,9.68253994,29.1091671,54.03848648,29.0881443,87.74446106,29.17712402,16.24638939,29.19831276,11.70941925,29.21933365,20.69058037,29.23962402,24.09733772,29.32806206,16.32254791,29.30747795,12.73308468,29.28714561,132.5375519,29.26579094,144.0747223,29.35312462,50.34602737,29.37347794,42.61598969,29.3943119,56.18252563,29.41539574,62.8783493,29.50397873,16.80961418,29.48281288,14.44062996,29.46239662,74.0770874,29.44112587,81.1776123,
30.00083351,6.628967285,30.02037621,5.786400795,30.04162598,12.23655605,30.06247902,16.80189896,30.15023041,12.42724514,30.13014603,10.17722893,30.10922813,56.4246254,30.08822823,83.14902496,30.17498016,18.53783226,30.19604111,13.12094975,30.21731186,19.44473648,30.23770714,21.10852814,30.32448006,15.84242058,30.30364609,12.9119854,30.28249931,122.1838226,30.262146,136.8815308,30.35014725,52.00951767,30.37100029,41.3789444,30.39272881,58.26195908,30.41379166,62.25650406,30.50179291,17.33318901,30.4816246,14.51573277,30.46033287,74.02178955,30.43933296,84.18952179,
31.00083351,7.791517258,31.02087402,5.52192831,31.04162598,10.764575,31.06264687,16.68206215,31.15164566,11.46945858,31.13095856,11.04088116,31.11029243,57.38207626,31.08906174,86.05750275,31.17787552,17.90892601,31.19912529,10.90801144,31.21945763,19.71921539,31.24064445,22.94630623,31.32897949,14.63575077,31.30862427,12.18423462,31.28798103,131.7098236,31.26729202,141.5917511,31.35562515,51.63455963,31.37612534,40.0763855,31.39631271,60.07244873,31.4175415,62.96951294,31.50562477,16.47052765,31.48506355,15.07632542,31.46433258,77.8573761,31.44395828,84.33670807,
32.00083542,6.623408318,32.02212524,5.048083782,32.04279327,11.65152359,32.06429291,15.09433937,32.15250015,11.72675133,32.13197708,10.24839783,32.1109581,56.33030319,32.09037399,90.47451782,32.17881393,18.14191246,32.19989777,11.40316486,32.22095871,21.59000969,32.24129105,23.24892235,32.32872772,15.74283981,32.30747986,13.16901588,32.28712463,126.342598,32.26656342,139.3258972,32.35512543,49.71022034,32.37512589,41.78913116,32.39631271,59.51115799,32.41670609,65.71253204,32.50395966,16.14860916,32.48312759,15.76982021,32.46250153,75.3547287,32.44222641,83.26566315,
33.00083542,6.791763783,33.02112579,6.091580391,33.04179001,12.98771954,33.06272888,15.29542732,33.15097809,10.9297142,33.13056183,10.62875843,33.10933304,57.99842072,33.08897781,90.96701813,33.17762375,17.76023674,33.19781113,11.56854248,33.21895599,21.30673981,33.24012375,21.98913956,33.32637405,16.58478355,33.30581284,13.52292252,33.28464508,133.6037903,33.26462555,145.5958252,33.35181427,49.984272,33.37189484,39.60654449,33.39329147,56.04095078,33.41379166,63.17769623,33.50383377,15.80024529,33.48281097,14.86413097,33.46129227,76.26737213,33.43997955,85.50590515,
34.00083542,7.434046268,34.02062607,5.146392345,34.04097748,10.9554882,34.06264496,16.59551811,34.15073013,12.07296467,34.13031387,10.58059025,34.10964584,56.83637238,34.08829117,92.78689575,34.17481232,17.29827881,34.19581223,11.74742985,34.2171669,18.59737968,34.23746109,23.04940224,34.3258934,13.99630642,34.30481339,14.08374882,34.2837944,124.8473282,34.26354218,139.1091461,34.34964752,49.92208099,34.37104034,39.86332703,34.39129257,56.7694931,34.41179276,62.99191666,34.50012589,16.76477242,34.47981262,16.46694183,34.45896149,77.4655304,34.43864822,81.1534729,
35.00083542,7.405828476,35.02179337,5.984095097,35.04229355,13.00350666,35.06239319,15.15192032,35.1515007,12.64426613,35.13062286,11.80869293,35.11012268,57.9115715,35.08922958,86.78710938,35.17797852,18.76925659,35.19829178,12.25256729,35.21945953,18.5653553,35.23983002,22.80014229,35.32920837,15.39601517,35.30814743,13.45866871,35.2874794,128.0621643,35.26631165,139.0684204,35.35395813,49.92740631,35.37483215,40.97304153,35.39529037,55.20895767,35.41581345,61.12179565,35.50445938,18.00587654,35.48314667,16.50121498,35.46312714,72.15126038,35.4418335,80.51437378,
36.00083542,6.936729431,36.02131271,5.171316147,36.04199982,11.97055817,36.06306076,15.17494392,36.15180969,12.39177036,36.13062286,10.57307625,36.11021042,58.32974625,36.08866882,84.70487976,36.17766571,19.86918068,36.19889832,12.50566673,36.22014618,19.32354736,36.24031067,22.93664742,36.32870865,13.69257927,36.30799866,13.01293373,36.28699875,122.6658859,36.26681137,143.7346802,36.35512543,51.71950531,36.37562561,42.0356369,36.39614487,58.57840729,36.4175415,63.83776093,36.50600052,17.17388725,36.48581314,14.3194952,36.46447754,76.18345642,36.44329071,80.36074829,
