Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
56.00833511,42.93489838,56.02722931,203.4196014,56.06308365,58.61090851,56.08199692,138.6342621,
56.50833511,43.22990036,56.52722931,204.3695831,56.5640831,58.59646606,56.58300018,137.1733551,
57.00833511,42.89883804,57.02722931,203.5618439,57.06333542,57.66502762,57.08222961,137.7084198,
57.50833511,42.82023239,57.52722931,203.7225494,57.5629158,57.75179291,57.58183289,139.0865936,
58.00833511,42.66592789,58.02722931,202.3848114,58.06266785,57.76335907,58.08156204,137.2712708,
58.50833511,42.57973099,58.52722931,202.4670563,58.5640831,58.17307281,58.58300018,135.9163208,
59.00833511,42.90769577,59.02722931,202.000061,59.0640831,58.27696991,59.08300018,138.179718,
59.50833511,42.88681793,59.52722931,203.8499908,59.56274796,59.01951218,59.58166504,137.1697083,
60.00833511,43.03743362,60.02722931,203.1377106,60.06296158,58.33541107,60.08187485,137.3597107,
60.50833511,42.23172379,60.52722931,201.0637207,60.56308365,58.36633682,60.58199692,135.9260712,
61.00833511,42.68299103,61.02722931,201.9900665,61.06233215,58.70316696,61.08123016,137.2182312,
61.50833511,42.58661652,61.52722931,202.9952545,61.56358337,58.45018768,61.58250046,137.4615784,
62.00833511,42.80316544,62.02722931,202.4250793,62.06256104,58.44237518,62.08147812,137.3355103,
62.50833511,42.60042191,62.52722931,202.5976105,62.56333542,58.65505219,62.58222961,137.1099091,
63.00833511,42.56964493,63.02722931,201.3753967,63.06358337,58.34407425,63.08250046,138.116333,
63.50833511,42.70864868,63.52722931,201.2503967,63.56308365,59.08280563,63.58199692,137.1468964,
64.0083313,42.89401627,64.02722931,201.1026764,64.06356049,58.27143097,64.08249664,136.6674805,
64.5083313,42.27978516,64.52722931,200.0371552,64.56407928,58.70168686,64.58300018,137.7270508,
65.0083313,42.17965317,65.02722931,199.124054,65.06272888,58.56054306,65.08164215,137.2805176,
65.5083313,42.40482712,65.52722931,200.8996887,65.56312561,58.70676804,65.58204651,135.2617798,
66.0083313,42.8310585,66.02722931,200.9490356,66.06441498,58.63189316,66.08333588,137.1167908,
66.5083313,42.55239868,66.52722931,199.5622253,66.56241608,58.27082062,66.58132935,137.3961792,
67.0083313,42.49628448,67.02722931,197.8579865,67.06458282,58.35239029,67.08350372,136.6955414,
67.5083313,42.4769783,67.52722931,201.1615753,67.56491852,58.33530807,67.58383179,136.9141998,
68.0083313,42.5553894,68.02722931,200.0904388,68.06341553,58.53660583,68.0823288,136.8345642,
68.5083313,42.50747299,68.52722931,199.8171539,68.56224823,58.46131897,68.58116913,137.3031006,
69.0083313,42.10824585,69.02722931,199.3873749,69.06208801,58.63573456,69.08100128,136.9925079,
69.5083313,42.3724823,69.52722931,200.318573,69.56472778,58.6239624,69.58364105,136.9659729,
70.0083313,42.19047165,70.02722931,198.3324432,70.06308746,58.49478149,70.08200073,136.7845917,
70.5083313,42.28335953,70.52722931,198.1291962,70.56308746,58.78541565,70.58200073,135.7562866,
71.0083313,42.34374237,71.02724457,199.3139648,71.06375122,58.53841782,71.08266449,137.9017944,
71.5083313,42.37424088,71.52722931,199.0465546,71.56375122,58.58407593,71.58266449,137.2038116,
72.0083313,42.08719635,72.02722931,199.0031738,72.06241608,58.54434967,72.08132935,135.2645416,
72.5083313,42.32744598,72.52722931,199.3973236,72.56291199,58.08742523,72.58183289,136.9829102,
73.0083313,42.14490128,73.02722931,198.8197937,73.06412506,58.50311279,73.08303833,137.4213104,
73.5083313,42.56496429,73.52722931,198.2758942,73.56241608,59.04000473,73.58132935,136.9852753,
74.0083313,42.20198822,74.02722931,199.4293976,74.06339264,58.56155014,74.08231354,136.4590607,
74.5083313,42.37505341,74.52722931,198.4505005,74.56258392,58.61094284,74.58150482,136.5415344,
75.0083313,41.95167923,75.02722931,197.1762695,75.06364441,58.24848938,75.08255768,135.9175568,
75.5083313,42.29293823,75.52722931,197.1895447,75.56275177,58.61799622,75.58166504,136.2545166,
76.0083313,41.88981247,76.02722931,196.6035309,76.06291199,58.31523132,76.08183289,136.0396423,
76.5083313,41.72803879,76.52722931,195.4573975,76.56395721,58.66063309,76.58287811,135.9235382,
77.0083313,41.92575073,77.02722931,196.3932648,77.06408691,58.80052185,77.08300018,135.9110413,
77.5083313,41.77508926,77.52722931,197.0731354,77.56324768,58.48506165,77.58216858,135.1395721,
78.0083313,41.89875031,78.02722931,197.8106232,78.06342316,58.70233536,78.0823288,135.6843872,
78.5083313,42.21281433,78.52722931,196.9143524,78.56391907,57.89717102,78.58283997,135.973877,
79.0083313,42.18379211,79.02722931,196.959198,79.06278992,58.27072906,79.08170319,135.3230438,
