Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample B6,,Sample B7,,Sample B8,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,Sample C6,,Sample C7,,Sample C8,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
29.00083351,113.9261932,29.02150154,21.51895714,29.04206276,24.41457939,29.06345749,20.21618652,29.08447838,206.8789368,29.10466766,115.8320847,29.12531281,23.4044075,29.14650154,40.56098557,29.31897926,139.964386,29.29779243,22.28010178,29.27745819,26.24515152,29.25697899,24.07848549,29.23562431,140.5999451,29.21450043,113.6320419,29.19314575,84.63716125,29.1726265,44.24925995,29.3451252,110.4635239,29.36564445,26.03392982,29.38631248,33.48786163,29.40720749,31.02315903,29.42749977,128.562561,29.4488945,93.42241669,29.47031212,85.52018738,29.4908123,40.37817001,
30.00083351,115.7573929,30.02162552,21.09982109,30.04256248,23.87853241,30.0643959,19.73316765,30.08522987,212.6452332,30.10531235,114.1465683,30.1264782,23.50498199,30.14762497,41.52219772,30.3188343,138.7718964,30.29847908,22.046381,30.27745819,26.52408791,30.25637436,23.65901566,30.23531342,137.7380219,30.21495819,112.5198669,30.19437408,86.1387558,30.17399979,43.71617126,30.3456459,112.1840897,30.36689568,25.86393166,30.38729286,33.1488266,30.40779305,30.53209305,30.42839622,129.9142761,30.44949913,93.06343842,30.47029305,82.73865509,30.49079132,40.82203674,
31.00083351,116.6312943,31.02037621,21.13729668,31.04139519,24.87164879,31.06245995,20.02071571,31.08347893,206.0547791,31.10383224,114.0568161,31.12533379,23.13800812,31.14597893,40.99110794,31.3188343,135.1456146,31.2974987,22.15830803,31.27664566,26.80723953,31.25564575,23.63793564,31.23529243,138.4455719,31.21404266,110.7582855,31.19350052,85.80140686,31.17231178,44.56568527,31.3451252,111.0514832,31.36612511,26.04703522,31.3862915,34.23919296,31.4076252,30.97965622,31.42829132,128.411972,31.44872856,92.25928497,31.47006226,84.705513,31.49045753,41.47554779,
32.00083542,118.0670776,32.02114487,20.07374573,32.04131317,24.22607803,32.06256485,20.55203819,32.08279037,208.7410736,32.10381317,113.4872589,32.12466812,23.22918892,32.14504242,40.20906067,32.31772995,132.1449585,32.29720688,22.14305496,32.27637482,26.92298317,32.25497818,23.09449577,32.23481369,136.9429779,32.21345901,112.802124,32.19295883,87.28726196,32.17162323,43.41760254,32.34483337,111.7855453,32.36545944,26.16584969,32.38647842,33.05040359,32.40653992,30.33511353,32.42812347,129.2327881,32.44839859,91.83428192,32.46931076,83.09332275,32.49037552,41.12049103,
33.00083542,116.7701416,33.0219574,21.21931839,33.04245758,24.29413223,33.06362534,19.540905,33.08479309,204.6646118,33.10512543,113.2169571,33.12598038,22.98395729,33.1463356,39.9531517,33.31720734,133.481369,33.29614639,22.58771515,33.27564621,26.40974236,33.25462341,23.71470642,33.23370743,139.0007019,33.21331024,111.026741,33.19195938,84.6002121,33.17156219,43.127491,33.34362411,113.1404877,33.3641243,25.96608162,33.38537598,33.18848801,33.40629196,30.33097076,33.42679214,128.6905365,33.44779205,90.69445801,33.46887589,83.06143951,33.48929214,40.91559601,
34.00083542,119.7233963,34.0212059,20.72434998,34.04262543,23.53900146,34.06295776,19.81744003,34.0840416,203.5428619,34.10412598,112.5599442,34.12528992,22.80926704,34.14629364,39.82376862,34.31862259,134.071106,34.29747772,22.42653465,34.27662277,26.9850502,34.25639725,23.48953247,34.23514557,138.6132355,34.2146225,109.9960098,34.19362259,87.53020477,34.17254257,43.32454681,34.34466553,113.5969086,34.36562347,26.27953911,34.38614655,32.5594635,34.4072113,30.0865612,34.42829132,129.0554657,34.44931412,91.35166931,34.4697113,83.94542694,34.49079132,41.0136528,
35.00083542,120.1270218,35.02112579,21.33909607,35.04229355,23.77522469,35.0631485,20.07670403,35.08372879,206.5837708,35.10429382,112.7292328,35.12495804,22.94916725,35.14604187,41.08736038,35.31781387,134.901886,35.2972908,22.00806046,35.27606201,26.88822937,35.25516891,23.67056847,35.23414612,138.0342255,35.21379089,109.2611465,35.19350052,86.22016144,35.17214584,43.9126091,35.34431076,113.2138596,35.3646431,26.57028389,35.3855629,33.98393631,35.40612411,31.03439903,35.42712402,125.031517,35.44764328,90.62822723,35.46889496,83.7302475,35.4891243,40.44392014,
36.00083542,121.8210526,36.02112579,20.70310593,36.04154205,23.70926476,36.06272888,20.49981499,36.08279037,208.2630157,36.10347748,110.3963852,36.12481308,23.01350975,36.14531326,39.17153168,36.31816864,137.250824,36.29664612,22.09860229,36.27629089,26.86144638,36.25572968,23.14134407,36.23464584,134.004364,36.21364594,108.6891785,36.19245911,85.70765686,36.17164612,43.97050476,36.34381104,115.722908,36.36481094,25.52353668,36.38612366,34.05783081,36.40633011,30.68457794,36.42737579,122.5305786,36.44862366,91.55887604,36.46912384,83.41178131,36.48947906,41.13605499,
37.00083542,120.1645889,37.02129364,21.03289795,37.04131317,23.9651413,37.06231308,19.92231178,37.08372879,208.231842,37.10464859,108.182457,37.12548065,22.74676132,37.14612579,39.85628128,37.31764603,138.0418701,37.29712296,22.35750008,37.27654266,26.81454849,37.25531387,23.15666199,37.2347908,134.6910248,37.21437454,105.8817825,37.19350052,86.48057556,37.17214584,43.4766655,37.34445953,116.7272949,37.3646431,26.40125465,37.38570786,33.41005325,37.40664291,30.41127968,37.42729187,123.0254517,37.44764328,91.72105408,37.46822739,83.7514267,37.48931122,41.6003952,
38.00083542,120.7826538,38.02220917,20.87347412,38.0424614,23.17284012,38.06362152,19.79355049,38.08481598,207.3983307,38.10572815,105.6369553,38.12612152,22.60306358,38.14762497,39.70472336,38.31916428,138.6895752,38.2978096,22.75658989,38.27745819,26.84687233,38.25639725,23.49087524,38.23581314,133.2559509,38.21514511,105.3589172,38.19395828,86.62761688,38.17299652,43.01714706,38.34314728,115.2250061,38.36445618,25.88493347,38.38466644,33.42969894,38.40572739,29.98135185,38.42695618,120.3681412,38.44797897,92.98233032,38.46812439,83.13305664,38.48917007,40.37157822,
