Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
421.070007324219,63.4868278503418,67.6158065795898,58.7434387207031,73.4423599243164,53.5974311828613,65.6457061767578,0.431450694799423,1.50200641155243,70.0447387695313,68.8526763916016,71.0024948120117,65.6421127319336,47.4252128601074,74.3160400390625,74.7227783203125,62.8176040649414,64.2561569213867,50.6953048706055,45.4196548461914,68.4722900390625,1.0312625169754
422,61.1021499633789,70.5003662109375,70.8486633300781,80.661262512207,55.2583351135254,73.6958694458008,0.984719812870026,0.682218313217163,70.7264785766602,74.9977188110352,68.2494964599609,75.3391036987305,45.8210487365723,73.5669479370117,74.8894500732422,67.7626876831055,67.6914672851562,48.9689025878906,50.8364906311035,69.066535949707,0.724884867668152
423.070007324219,70.2861557006836,69.9232177734375,73.592887878418,76.8643646240234,58.5841331481934,71.8879013061523,1.03792583942413,1.21969175338745,76.5706024169922,81.155158996582,75.4761352539063,74.3570861816406,47.4544143676758,73.0027770996094,72.5232238769531,74.1645889282227,73.5411224365234,50.1435241699219,54.8378257751465,73.1800003051758,0.470015168190002
424,72.6487121582031,68.4067840576172,78.0332565307617,88.8476333618164,57.9233207702637,77.6072845458984,0.786033391952515,0.836495697498322,81.6836471557617,78.0575561523437,76.4501953125,82.2623062133789,47.1687622070313,76.4365844726563,74.8459396362305,72.7379760742188,70.9389266967773,55.478214263916,55.0024871826172,77.0978164672852,0.813540458679199
425.070007324219,74.8502960205078,74.3372421264648,76.7744369506836,86.0652770996094,62.0682716369629,76.4928665161133,1.06628751754761,0.791524589061737,84.2939453125,85.6335220336914,77.4320602416992,81.8807830810547,57.3280563354492,74.8720016479492,79.1495132446289,75.2025146484375,70.2776336669922,62.8801002502441,60.6222534179688,76.7983627319336,1.03960502147675
426,73.5913619995117,87.3914794921875,81.3708877563477,89.4548950195313,57.5981178283691,85.7036666870117,1.02579975128174,1.18834125995636,90.7231750488281,77.6958999633789,81.2346572875977,82.3684844970703,49.4337043762207,81.6797180175781,82.0425567626953,77.8402404785156,69.0497131347656,59.5930519104004,62.2275886535645,82.423957824707,1.43908894062042
427.070007324219,75.8393478393555,79.5756607055664,84.5025939941406,94.5392761230469,62.7152786254883,81.4537734985352,1.00784361362457,0.757016241550446,85.5663604736328,88.2412796020508,88.9373397827148,87.1931838989258,48.362419128418,84.8718795776367,86.1325607299805,81.857551574707,75.794189453125,59.9985313415527,58.9533615112305,83.2859802246094,0.790919423103332
428,81.3069000244141,80.3125228881836,75.5160064697266,90.2099609375,63.764087677002,84.3518447875977,0.658531844615936,1.06193280220032,88.7686386108398,91.4648513793945,93.027717590332,87.1494750976563,55.9573287963867,82.0422286987305,85.5116882324219,78.6618804931641,77.1578063964844,57.3714904785156,58.4625778198242,82.6011199951172,0.927999377250671
429.070007324219,83.0347900390625,77.968391418457,83.1195526123047,93.2658843994141,64.1770553588867,89.2606201171875,0.8355672955513,0.783195436000824,88.7504806518555,83.4625625610352,87.592903137207,94.1286315917969,59.5471954345703,82.5102920532227,86.4262313842773,85.4552917480469,82.241081237793,62.3814277648926,64.4179992675781,87.6524810791016,0.820096671581268
430,89.2902984619141,86.1962509155273,83.716796875,96.8064422607422,66.6220855712891,87.2477340698242,0.25281497836113,0.93440854549408,92.5701751708984,97.0680770874023,93.1998672485352,94.2548446655273,60.9801940917969,86.905876159668,86.5090637207031,85.2913208007812,82.0298156738281,63.4321060180664,62.8466453552246,86.1161880493164,0.93466067314148
431.059997558594,82.6950073242188,89.5130615234375,82.4778900146484,94.146369934082,64.5040969848633,83.0105743408203,0.770631968975067,0.503207981586456,96.9532470703125,91.816764831543,91.569465637207,95.0552673339844,60.6507568359375,84.448616027832,90.3758773803711,92.1138916015625,75.2572250366211,69.197021484375,62.5884590148926,93.0050888061523,1.07473385334015
431.959991455078,87.6954040527344,89.3347778320312,87.7427062988281,103.243034362793,71.8085556030273,87.7901916503906,0.827494919300079,1.0013792514801,95.2919311523437,95.5320053100586,96.1803131103516,94.9294509887695,58.5165557861328,95.0996017456055,93.6535186767578,87.8204574584961,81.1597747802734,68.0816650390625,71.4373092651367,82.8430786132813,0.945775508880615
