Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
59.00083542,23.5406971,59.02104187,29.46987915,59.04170609,35.23937607,59.06272888,30.36860466,59.08362579,27.05292511,59.10470963,29.18108749,59.12589645,24.88715744,59.1462059,21.47079659,59.16756058,25.97884178,59.18779373,32.3170433,
60.00083542,23.49920654,60.02058411,25.94686127,60.04156113,28.59147072,60.06225204,30.92207527,60.08337402,34.14948273,60.10387421,28.83682632,60.12495804,27.96982193,60.14520645,22.79475021,60.16639328,23.74780846,60.18681335,32.509655,
61.00083542,22.95342255,61.02070618,30.50996208,61.04172897,29.50027275,61.06220627,30.04107475,61.08239746,32.01238251,61.10341644,33.12107849,61.12387848,22.81350136,61.14421082,22.85185242,61.16539764,22.18154144,61.18574905,28.87603378,
62.00083542,25.359972,62.0203743,32.52620316,62.04139328,27.93227959,62.06239319,32.0813942,62.0837059,29.37407875,62.10429382,29.12598038,62.12371063,25.47310638,62.1450386,23.93532944,62.16622543,21.23376656,62.18595886,30.28953171,
63.00083542,27.36043358,63.02256393,28.84026337,63.04298019,32.64848709,63.06420898,33.5653801,63.08472824,27.22948837,63.10581207,27.56739616,63.12620926,22.81122589,63.14739609,25.39935684,63.1677475,22.66915894,63.18887711,29.91817665,
64.0008316,23.68745422,64.02072906,31.51994514,64.04120636,30.33787537,64.06272888,26.57590103,64.08364868,31.94091034,64.10470581,31.71747589,64.12520599,24.61073494,64.14646149,21.55646706,64.1667099,23.01620483,64.18739319,32.20802307,
65.0008316,28.11523628,65.02141571,31.40835762,65.04220581,30.21118355,65.06337738,31.56721497,65.08439636,28.65886307,65.10562134,31.73762894,65.12620544,23.29683304,65.14656067,23.059618,65.16725159,24.22281075,65.18920898,30.06958199,
66.0008316,24.36427498,66.02120972,30.5580616,66.0417099,33.84571457,66.06222534,31.06271172,66.08364868,27.32279968,66.10404205,28.55648232,66.12506104,24.81099892,66.14541626,23.95447731,66.16687775,23.16964722,66.1873703,31.68690491,
67.0008316,26.17826271,67.02137756,29.58271217,67.04256439,30.85325813,67.06375122,35.08475876,67.08397675,28.69641876,67.10506439,31.50994301,67.12614441,21.67750168,67.14637756,22.39198494,67.16764832,21.74781418,67.18854523,33.03094101,
68.0008316,23.79311943,68.02053833,27.92145729,68.04148102,31.14161873,68.06189728,29.09599113,68.08229065,27.82489967,68.1027298,28.37360191,68.12406158,24.16149712,68.14523315,20.23313713,68.16558075,24.49926758,68.18606567,31.37099075,
