Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,Sample A3_Ex465_Em530,,Sample A3_Ex465_Em590,,Sample A4_Ex465_Em530,,Sample A4_Ex465_Em590,,Sample A5_Ex465_Em530,,Sample A5_Ex465_Em590,,Sample A6_Ex465_Em530,,Sample A6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
54.00083542,253.5387878,54.0047493,284.6922913,54.02643585,211.3880157,54.03035355,224.5215302,54.05125046,227.2825317,54.05516815,280.1480408,54.07627106,208.106781,54.08018875,281.0935974,54.10214615,176.4991455,54.10606384,241.1584778,54.12760544,196.7864532,54.13152313,297.2890625,
55.00083542,248.2584686,55.0047493,275.264801,55.02585602,206.522644,55.02974701,230.2679443,55.05041504,231.5663452,55.05433273,283.6827698,55.07543945,205.8297119,55.07935333,281.9907532,55.09860611,169.4584351,55.1025238,245.9335022,55.12431335,201.2248077,55.12823105,296.3847656,
56.00083542,258.7355042,56.0047493,291.9309998,56.02510452,201.4763031,56.0290184,235.2018127,56.04958344,226.2127838,56.05350113,272.8494568,56.07491684,207.7326813,56.07883453,283.3713989,56.10027313,176.6381683,56.10418701,241.5163116,56.12524796,196.6767883,56.12916565,296.0024719,
57.00083542,255.0741425,57.0047493,276.7446289,57.02574921,215.536377,57.0296669,234.1769409,57.05126953,227.6040649,57.05518723,270.7627258,57.07660294,206.3997955,57.08052063,279.4211121,57.10210419,177.9406738,57.10606384,241.4815521,57.12831116,204.0927734,57.13222885,296.3959656,
58.00083542,245.7957306,58.0047493,281.4919739,58.02576828,212.5806885,58.02968597,231.7051086,58.05064774,225.6455688,58.05456161,288.8129272,58.07660294,207.3099213,58.08052063,278.5830383,58.10126877,171.4905548,58.10518646,235.2164459,58.12677002,206.9514923,58.13068771,297.3417664,
59.00083542,250.0972443,59.00476837,283.6522522,59.02710342,211.3998566,59.03102112,224.359726,59.05308533,225.96492,59.05699921,272.6791382,59.07810593,208.1012878,59.08201981,284.8029175,59.1024971,169.884613,59.10641861,244.5491638,59.12841797,200.1477966,59.13233185,299.5967712,
60.00083542,253.2421417,60.0047493,288.9042969,60.02550125,212.9108276,60.02941513,223.1423492,60.05018616,233.5084991,60.05408478,278.0372925,60.07593536,205.859726,60.07985306,286.1087952,60.1006012,177.1874084,60.10451889,240.7120667,60.12608337,204.7742462,60.13000107,298.0230408,
61.00083542,246.7893066,61.0047493,293.6916504,61.02697754,206.949173,61.03089523,223.802475,61.05210495,226.2955475,61.05602264,275.3157043,61.07743835,213.6672363,61.08135605,275.1040039,61.10260391,170.7265778,61.10652161,233.8464355,61.12810516,203.6150208,61.13201904,296.247406,
62.00083542,257.2557983,62.0047493,291.7157288,62.02560043,198.362793,62.02952194,224.3663177,62.05108261,228.2442474,62.05500031,278.4867249,62.07533264,205.4649353,62.07924652,281.0038147,62.10124969,179.4353943,62.10516739,235.8097687,62.12693787,204.6269531,62.13085556,302.6655579,
63.00083542,247.8267365,63.0047493,284.4193726,63.02593613,202.3850861,63.02985382,223.4237976,63.05076981,226.3179016,63.0546875,269.4407959,63.07643509,209.4636383,63.0803566,282.8255005,63.10110092,173.7430573,63.10502243,235.0049591,63.12660217,201.9148712,63.13051987,289.5423279,
64.0008316,252.901886,64.00474548,285.9861145,64.02677155,205.0322571,64.03068542,224.1638794,64.05214691,230.0263367,64.05606079,262.6369019,64.07649994,206.9784393,64.08041382,285.2958374,64.10175323,172.9136658,64.10566711,238.0621185,64.12693787,200.8861694,64.13085175,298.1698914,
