Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample B1,,Sample B2,,Sample B3,,Sample B4,,Sample B5,,Sample C1,,Sample C2,,Sample C3,,Sample C4,,Sample C5,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
51.00083542,21.02170944,51.02025223,219.6880646,51.04006195,261.0582275,51.06089783,180.1040344,51.08073044,326.0010681,51.18691635,14.10007191,51.16608429,169.5496368,51.14631271,154.8852234,51.12656403,115.1716003,51.10673141,215.3681335,51.21191788,19.90220833,51.23173141,220.6336517,51.25256348,197.978653,51.27239609,155.3024445,51.29214859,298.239624,
52.00083542,21.45710373,52.02237701,221.8201141,52.0421257,263.0877075,52.06189728,181.845871,52.08172989,327.8613586,52.18796158,14.16850281,52.16822815,170.2298279,52.14737701,158.0701294,52.12756348,114.5426254,52.10773087,217.0758667,52.21295929,20.21046257,52.23379135,215.9693909,52.25356293,196.1203613,52.2743988,154.5865936,52.29423141,296.3019409,
53.00083542,20.1291008,53.02129364,223.8308563,53.04106522,269.6876526,53.06189728,182.8153534,53.08172989,327.08255,53.18796158,13.8217001,53.1671257,168.686676,53.14739609,158.5655823,53.12756348,116.643013,53.10673141,219.1848755,53.21295929,20.04114914,53.23273087,218.0506592,53.25356293,197.7757416,53.27339554,156.9039154,53.29423141,297.2267151,
54.00083542,21.25869942,54.02129364,225.4714813,54.0421257,271.730835,54.06189728,184.7128906,54.08172989,323.4389648,54.18796158,14.21472359,54.16820908,170.4515228,54.14737701,164.6505585,54.12756348,116.6403885,54.10773087,215.0232239,54.21404266,20.20624924,54.23379135,224.0049896,54.25356293,198.8695679,54.2743988,155.5206299,54.29423141,297.105957,
55.00083542,20.84287643,55.02124786,226.8949432,55.04106522,270.1672974,55.06189728,187.9005127,55.08172989,328.8827515,55.1879158,14.39451599,55.16707993,170.535553,55.14731598,166.1779938,55.12756348,119.8078766,55.10773087,215.125351,55.21291351,19.81782913,55.23374939,220.3104706,55.25356293,198.612381,55.27339554,155.6018829,55.29314804,295.8407898,
56.00083542,20.40584564,56.02124786,229.1364899,56.04106522,272.0054626,56.06087494,191.6329803,56.08064651,328.7770691,56.18689728,14.33912849,56.16707993,172.3939819,56.14731598,168.7855225,56.1264801,119.3348312,56.10670853,216.0367432,56.21291351,20.50026703,56.23273087,221.0022888,56.2525444,195.8947449,56.27228928,157.8604736,56.29314804,299.299408,
57.00083542,21.07549858,57.02228928,234.5853729,57.04206085,276.7696838,57.06187439,192.059021,57.08171082,325.5591736,57.18789291,14.41462135,57.16812515,171.4285736,57.14728928,170.4212036,57.1275444,122.1038971,57.10773087,217.9594574,57.21289444,20.20125198,57.2337265,222.5407104,57.25354004,196.79422,57.27337646,158.2443237,57.29312515,296.8168335,
58.00083542,20.56624031,58.02122879,234.8309021,58.04103851,275.1877441,58.06089783,193.2700806,58.08062363,326.518158,58.18687439,13.90374374,58.16706085,172.0037994,58.14622879,172.2740479,58.12645721,122.3585129,58.10670853,212.9284668,58.2118721,20.84610558,58.23270798,224.2115936,58.25256348,196.7588196,58.27228928,157.2433472,58.29206085,296.0418396,
59.00083542,21.41303062,59.02122879,236.7470856,59.04206085,276.5147095,59.06187439,196.3838196,59.08171082,327.3145447,59.18789291,14.56160641,59.16808319,172.8118439,59.14725113,174.1171875,59.1275444,123.1303406,59.10770798,213.7342682,59.21289444,20.03128624,59.2337265,224.3391113,59.25356293,197.0794525,59.2743721,157.6414795,59.29420853,295.5907593,
60.00083542,21.09157562,60.02122879,239.8440857,60.04206085,275.2205811,60.06189728,193.9707642,60.08164597,323.4498291,60.18789291,14.63700294,60.16706085,173.0557404,60.14725113,173.8781738,60.12747955,125.0143356,60.10773087,216.202774,60.21289444,19.86327362,60.23273087,222.5916138,60.25356293,196.731369,60.27331161,157.8846741,60.29308319,297.4543152,
61.00083542,21.54742813,61.02022934,239.3204803,61.04106522,278.6488342,61.06081009,198.6269836,61.08058167,326.1442261,61.18689728,13.7598896,61.16706085,172.1515045,61.14622879,175.7799072,61.12641525,126.1649857,61.10664368,216.7794952,61.2118988,20.88433266,61.23273087,223.4849854,61.25247955,198.5190277,61.27225113,160.7877808,61.29206085,295.7520752,
62.00083542,21.42802429,62.02122879,240.6104584,62.04206085,278.0773315,62.06189728,197.9718475,62.08162308,325.4971008,62.18789291,13.97426605,62.16706085,173.1515198,62.14722824,175.6777344,62.12745667,126.2593536,62.10773087,214.6369324,62.21289444,20.28521347,62.23273087,223.6114349,62.25356293,199.1541595,62.27329254,160.1586304,62.29306412,296.3033752,
63.00083542,20.45201683,63.02022934,242.670639,63.04106522,280.7433472,63.06079102,199.2502747,63.08056259,328.0220642,63.18689728,14.50551128,63.16606522,171.2671356,63.14622879,180.3673096,63.12639618,123.7989502,63.1066246,212.2306213,63.2118988,20.70282555,63.2316246,221.8382111,63.25245667,197.4911957,63.27222824,161.9699249,63.29204178,295.3439331,
