Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A12,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
54.00083542,14.69434357,54.02039337,27.1210022,54.04139328,31.76971245,54.0620842,29.57881927,54.08308411,34.71518326,54.10448074,32.64864731,54.1254158,22.37487793,54.17533493,468.9072571,
54.50083542,15.94454956,54.52172852,28.67374992,54.54227066,35.77645874,54.56391525,28.70527458,54.58427048,30.43024635,54.60460663,35.05892944,54.62583542,25.80759239,54.67389679,469.9649353,
55.00083542,15.11680031,55.02177048,31.03422928,55.04300308,35.6977272,55.06391525,29.93435669,55.08483505,29.84531021,55.10522842,34.59397125,55.12627029,24.85719109,55.17556,485.6889648,
55.50083542,14.00143814,55.52122879,27.02308655,55.54239655,32.60977554,55.5634346,28.59724426,55.58391571,33.29832458,55.60439301,32.80069351,55.62572861,22.38677025,55.67358398,457.5575256,
56.00083542,14.0119257,56.02050018,26.24861526,56.04156113,32.552742,56.06258011,23.10805702,56.08372879,31.19005394,56.10339737,33.70363998,56.12475204,23.27329254,56.17247772,475.3889771,
56.50083542,14.04052448,56.52106094,29.59876633,56.54207993,33.63190079,56.56264496,26.5602932,56.58372879,30.65816116,56.60424805,33.62918854,56.62493896,20.8625145,56.67375183,476.6954041,
57.00083542,14.24138165,57.02091599,26.22015762,57.04224777,31.80834579,57.06293869,25.98013687,57.0833931,30.28838921,57.10456085,31.40278816,57.12543869,23.94958115,57.17322922,465.5866699,
57.50083542,12.42071819,57.52131271,27.46655273,57.54189301,33.77327347,57.56289291,26.1403904,57.58325195,31.24401855,57.60360336,32.61311722,57.62481308,20.40514946,57.67339706,463.3702698,
58.00083542,14.95814133,58.02208328,27.6278553,58.04241562,32.19724655,58.06349945,27.84020805,58.08372879,32.25559616,58.10493469,34.5389061,58.12533188,23.43768883,58.17574692,482.6411438,
58.50083542,13.40224457,58.52239609,25.29163361,58.54272842,34.00728607,58.56414413,26.5528698,58.58448029,30.69140053,58.60481262,35.58456802,58.62572861,20.45454407,58.67423248,467.5884705,
59.00083542,12.92195988,59.02066803,27.42904663,59.04156113,30.06492233,59.06222916,25.98839378,59.08341599,29.18927002,59.10427094,33.32523346,59.12549973,25.39552498,59.17539597,447.0288696,
59.50083542,16.85486412,59.52127457,27.47600746,59.54210663,34.25416946,59.56231308,25.0716877,59.58325195,29.65288544,59.60375214,31.48265266,59.62508011,25.34310913,59.67508316,458.374939,
60.00083542,15.44055271,60.0208931,26.42020798,60.04189301,36.13432312,60.06222916,22.77932358,60.08341599,31.28201103,60.10449982,27.57170868,60.12558365,23.5059948,60.17531204,476.0535583,
60.50083542,14.90168858,60.52064514,28.77554131,60.54106522,29.79011536,60.5615654,25.92693138,60.58264542,30.69016838,60.60306549,31.97625732,60.62356186,21.39509773,60.67339706,462.3471069,
61.00083542,13.39835453,61.02048111,27.00920677,61.04156113,32.5233078,61.06272888,27.95775795,61.08292007,31.20044899,61.10343933,32.97401428,61.12439728,18.18490028,61.17393875,463.6174622,
