Sample M4,,
Time (min),Intensity (a.u.),
49.76416779,237.4879456,
49.76583099,239.8095093,
49.76750183,260.7226257,
49.76916885,253.5280457,
49.77083206,254.2217255,
49.7725029,260.3812561,
49.77416611,245.8396454,
49.77583313,256.7406311,
49.77750397,218.3651123,
49.77916718,229.8376007,
49.7808342,238.5980377,
49.78249741,250.4361725,
49.78416824,221.4690094,
49.78583527,246.0865784,
49.78749847,247.3261719,
49.78916931,276.3166809,
49.79083252,220.4472656,
49.79249954,276.5454712,
49.79417038,258.316925,
49.79583359,251.4714203,
49.79750061,262.2351074,
49.79916763,240.342865,
49.80083466,261.7013855,
49.80250168,236.9874878,
49.80416489,248.8866577,
49.80583572,280.8304749,
49.80749893,263.9396362,
49.80916595,246.3639832,
49.81083679,251.4933472,
49.8125,236.0796509,
49.81416702,250.0849304,
49.81583405,254.0961151,
49.81750107,269.5531311,
49.81916809,251.7177887,
49.82083511,252.3038788,
49.82250214,251.8701477,
49.82416534,260.3434448,
49.82583237,223.8239441,
49.8275032,248.8278656,
49.82916641,233.2446136,
49.83083344,227.6760712,
49.83250046,245.4604797,
49.83416748,229.1375122,
49.8358345,249.2810364,
49.83750153,284.2147217,
49.83916855,249.2820435,
49.84083176,234.8535156,
49.84250259,226.1986237,
49.84416962,245.2156219,
49.84583282,231.219162,
49.84749985,237.1110687,
49.84916687,256.8526306,
49.85083389,256.6519775,
49.85250092,239.0769043,
49.85416794,246.8043213,
49.85583496,238.8044739,
49.85749817,235.0937042,
49.85916901,223.6175842,
49.86083603,237.5373993,
49.86249924,251.0223541,
49.86417007,233.8154602,
49.86583328,239.6182709,
49.86750031,241.5380249,
49.86916733,245.7821503,
49.87083435,222.5518646,
49.87250137,241.4156036,
49.87416458,247.7665253,
49.87583542,241.7725067,
49.87750244,231.3569489,
49.87916565,258.3985596,
49.88083649,236.5923767,
49.88249969,265.5081787,
49.88416672,240.4152069,
49.88583755,255.2008362,
49.88750076,260.3880005,
49.88916779,239.929184,
49.89083099,276.8649597,
49.89250183,214.4239655,
49.89416885,257.6073303,
49.89583206,251.194046,
49.8975029,253.910202,
49.89916611,239.6773834,
49.90083313,237.0945282,
49.90250397,237.2874146,
49.90416718,278.2734375,
49.9058342,240.3026276,
49.90749741,223.7560883,
49.90916824,260.7311707,
49.91083527,248.8894653,
49.91249847,236.5834961,
49.91416931,255.0478821,
49.91583252,253.4108582,
49.91749954,244.3787537,
49.91917038,243.1739349,
49.92083359,219.1743622,
49.92250061,233.416748,
49.92416763,237.5826721,
49.92583466,245.1038513,
49.92750168,229.6600647,
49.92916489,267.658783,
49.93083572,250.3630676,
49.93249893,251.4633179,
49.93416595,260.3012695,
49.93583679,241.3636322,
49.9375,255.6241455,
49.93916702,226.7110901,
49.94083405,253.4234619,
49.94250107,269.4379272,
49.94416809,259.1434326,
49.94583511,230.7421417,
49.94750214,277.6938782,
49.94916534,228.2021484,
49.95083237,270.3127747,
49.9525032,225.7040863,
49.95416641,241.9244995,
49.95583344,237.9318237,
49.95750046,218.1840515,
49.95916748,246.6019287,
49.9608345,256.3490295,
49.96250153,248.4847565,
49.96416855,285.9169617,
49.96583176,271.1326904,
49.96750259,222.9608459,
49.96916962,202.7395477,
49.97083282,251.6923981,
49.97249985,276.5331421,
49.97416687,228.8401947,
49.97583389,256.4408264,
49.97750092,266.4328918,
49.97916794,253.7124329,
49.98083496,231.7640686,
49.98249817,263.6032715,
49.98416901,252.8510895,
49.98583603,247.4934387,
49.98749924,261.9926147,
49.98917007,256.4263611,
49.99083328,215.0241547,
49.99250031,211.2927856,
49.99416733,228.4401245,
49.99583435,246.1952515,
49.99750137,215.4500122,
49.99916458,237.3994293,
50.00083542,255.8539124,
50.00250244,252.236496,
50.00416565,265.9196167,
50.00583649,241.8913422,
50.00749969,276.0707397,
50.00916672,275.1208801,
50.01083755,258.6376038,
50.01250076,244.5967102,
50.01416779,271.5067139,
50.01583099,261.5465393,
