Sample E1_Ex465_Em530,,Sample E1_Ex465_Em590,,Sample E2_Ex465_Em530,,Sample E2_Ex465_Em590,,Sample E3_Ex465_Em530,,Sample E3_Ex465_Em590,,Sample E4_Ex465_Em530,,Sample E4_Ex465_Em590,,Sample E5_Ex465_Em530,,Sample E5_Ex465_Em590,,Sample E6_Ex465_Em530,,Sample E6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
67.0008316,45.37771225,67.00474548,160.876236,67.02589417,46.93024445,67.02981567,164.7118683,67.05089569,45.11610794,67.0548172,151.6323547,67.07633209,48.61423874,67.08024597,170.960144,67.10166931,43.17882538,67.10558319,151.4075012,67.12718964,47.68727112,67.13110352,162.1076355,
68.0008316,47.39078522,68.00474548,156.4067383,68.02651978,46.98565674,68.03043365,164.624527,68.05202484,43.32199478,68.05593872,152.6810303,68.07718658,49.09755325,68.08110046,172.8230286,68.10399628,43.5342598,68.10791779,151.3880157,68.1289978,46.60468292,68.13291931,163.0925293,
69.0008316,44.91710663,69.00476837,156.6662903,69.02552032,46.48085785,69.0294342,164.1710663,69.05052185,43.7946701,69.05443573,155.6791992,69.07585144,49.86280823,69.07976532,170.550354,69.10133362,44.12781525,69.1052475,152.4322357,69.12693787,47.9062233,69.13083649,161.8612823,
70.0008316,47.32520676,70.00475311,159.5462952,70.02606964,45.56270218,70.02998352,164.2666473,70.05168152,44.1256485,70.05561066,154.5402374,70.07618713,48.97742081,70.08010101,175.1033173,70.09985352,43.17338943,70.1037674,148.134613,70.12568665,46.02452087,70.12960815,162.2714691,
71.0008316,45.29611206,71.00476837,158.8917084,71.02768707,46.98007202,71.03160858,163.9831238,71.05252075,43.19796371,71.05643463,151.3391724,71.07852173,49.7642746,71.08243561,170.7213745,71.10401917,43.66824722,71.10793304,154.3292542,71.12952423,47.94142914,71.13343811,164.4252167,
72.0008316,46.28425217,72.00475311,159.0913849,72.02549744,45.74809647,72.02941895,165.5200958,72.05123138,43.76088715,72.05514526,154.8679504,72.07572937,49.26954269,72.07964325,170.0146942,72.10134888,42.81552505,72.10527039,150.0778351,72.12685394,45.17025757,72.13076782,167.7695007,
73.0008316,46.27771378,73.00475311,154.1759644,73.02516174,47.53687668,73.02908325,160.4358215,73.05058289,44.01520157,73.05449677,152.1770172,73.07552338,46.51145935,73.07943726,173.9515991,73.10118866,43.48051453,73.10510254,151.3942413,73.12685394,45.69417572,73.13076782,163.194046,
74.0008316,46.53593826,74.00476837,154.6173401,74.02767181,47.64102173,74.03158569,165.3528442,74.05219269,44.01007843,74.05610657,150.8209229,74.07775116,50.69610977,74.08166504,172.3983612,74.10268402,44.23156738,74.10660553,152.6750641,74.12800598,47.82809448,74.13191986,159.0837097,
75.0008316,45.88228607,75.00475311,157.2171631,75.02644348,47.9486084,75.03032684,167.2176666,75.05185699,43.61685562,75.05577087,153.5702515,75.07801819,49.68104553,75.08193207,173.4927826,75.1015625,44.30919266,75.10547638,149.0050659,75.12685394,46.12920761,75.13076782,167.0140991,
76.0008316,45.02636719,76.00476837,153.7175903,76.02692413,46.0090065,76.03083801,164.9223633,76.05285645,43.56177139,76.05677032,153.5374298,76.07785797,49.64377975,76.08177185,168.3785553,76.10266876,44.21173859,76.10658264,150.9951935,76.12805939,46.14208603,76.1319809,162.3735352,
77.0008316,46.59660721,77.00475311,158.773819,77.02616119,46.28215408,77.0300827,164.3563995,77.05135345,44.09132767,77.05527496,153.0975647,77.07675171,48.70473862,77.08066559,170.545105,77.10152435,42.86965942,77.10543823,151.0890808,77.1269989,48.59296417,77.13091278,164.1261749,
78.0008316,46.88557053,78.00475311,155.149826,78.02568054,46.31293106,78.02960968,164.7707672,78.05006409,43.71055603,78.05397797,150.4427948,78.07601929,48.39689255,78.0799408,171.0210876,78.10134888,43.49701691,78.10527039,151.6363068,78.12702179,45.41637039,78.1309433,161.2632446,
79.0008316,45.96382523,79.00476837,155.8035431,79.02568054,46.39618301,79.02960968,165.3585663,79.05141449,44.6329422,79.05532837,150.736969,79.07718658,47.34375763,79.08110046,171.1060028,79.10051727,43.87043381,79.10443878,148.8578949,79.12519073,46.89464188,79.12910461,163.7017517,
80.0008316,44.92952728,80.00475311,157.277771,80.02651978,46.79689026,80.03043365,166.7629242,80.05200195,44.5888176,80.05591583,152.3081665,80.07634735,49.02354813,80.08027649,172.9129333,80.10185242,43.42669296,80.1057663,154.2678528,80.12625122,47.76104355,80.1301651,164.6750183,
81.0008316,46.2751503,81.00476837,155.8419037,81.02536011,46.79721832,81.02927399,162.0250854,81.05135345,43.74393082,81.05527496,153.5984039,81.07600403,49.28630447,81.07991791,172.3175049,81.10134888,42.3523941,81.10527039,153.1065063,81.1266861,45.39797974,81.13064575,165.1717682,
82.0008316,45.14266205,82.00475311,157.8804321,82.02589417,46.78542709,82.02980804,163.3290558,82.05118561,44.49146271,82.05509949,152.9748535,82.07660675,48.02288437,82.08049774,169.1448975,82.10133362,44.17299271,82.1052475,151.0608063,82.12749481,45.39330673,82.13141632,162.6257019,
83.0008316,45.68659973,83.00475311,158.6668091,83.02539825,46.05699921,83.02931213,159.7393036,83.05058289,44.28619385,83.05449677,155.0811005,83.07634735,48.23757172,83.08027649,171.0051575,83.10089874,43.86427689,83.10481262,147.2606964,83.12656403,46.02596283,83.13047791,161.9835358,
84.0008316,46.50434875,84.00475311,155.8118286,84.02589417,46.28316116,84.02980804,163.8096313,84.05135345,45.20145416,84.05527496,149.8470459,84.07685852,48.80171585,84.0807724,173.0965271,84.10185242,43.03705597,84.10581207,151.5046387,84.12716675,45.23580933,84.13108826,166.4248505,
