Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample E1,Sample E2,Sample E3,Sample E4,Sample E5,Sample E6,Sample E7,Sample E8,Sample E9,Sample E10
478.029998779297,162.330963134766,163.178039550781,155.619277954102,166.156784057617,168.832336425781,169.271926879883,171.485946655273,169.208740234375,172.017761230469,3.41715908050537
478.929992675781,163.88151550293,163.754959106445,161.730117797852,171.324142456055,169.702087402344,171.609375,172.35432434082,171.238586425781,174.891662597656,3.47884345054626
480,166.10514831543,167.068588256836,161.328216552734,166.797241210938,173.763336181641,168.772827148438,178.130599975586,170.062774658203,175.065490722656,3.83226656913757
481.059997558594,165.815872192383,159.619506835938,159.035018920898,170.767379760742,168.915328979492,169.236297607422,167.117309570313,170.795822143555,168.889739990234,4.07289218902588
481.959991455078,168.088195800781,166.750350952148,163.172653198242,170.785980224609,168.840438842773,172.736114501953,175.431381225586,177.923202514648,170.631973266602,3.88513278961182
483.029998779297,164.383758544922,164.982131958008,162.619323730469,175.015106201172,171.997146606445,173.314971923828,171.534332275391,169.268814086914,173.401031494141,4.44965744018555
483.929992675781,165.017700195313,163.146850585938,159.712326049805,166.673187255859,171.093124389648,170.507614135742,177.565948486328,175.282638549805,168.054672241211,5.06209182739258
485,161.810211181641,163.503433227539,160.449478149414,171.021911621094,172.669540405273,167.31233215332,176.367156982422,173.361740112305,168.762298583984,5.01560544967651
486.059997558594,163.724914550781,163.706436157227,162.173690795898,170.475555419922,171.572525024414,168.084716796875,170.964019775391,165.493698120117,169.22395324707,5.36051511764526
486.959991455078,158.821578979492,158.041275024414,157.103439331055,167.97883605957,165.575393676758,164.44416809082,171.778335571289,168.425338745117,170.632736206055,5.3595290184021
488.029998779297,160.772323608398,162.437103271484,162.360275268555,165.88166809082,171.052963256836,167.091094970703,173.446563720703,168.254638671875,169.328567504883,5.25117206573486
488.929992675781,156.902221679687,161.973724365234,158.199020385742,164.125183105469,164.813919067383,168.781677246094,170.303283691406,165.115097045898,167.734466552734,5.17976856231689
490,151.811981201172,158.394195556641,156.30451965332,161.776321411133,168.195053100586,161.139572143555,168.406936645508,165.768157958984,164.618560791016,5.08126163482666
491.040008544922,156.126220703125,154.866851806641,156.439208984375,163.354034423828,162.611434936523,165.627304077148,168.611968994141,163.778411865234,160.76708984375,5.07639122009277
491.940002441406,150.209197998047,156.91389465332,162.422393798828,162.915481567383,165.825653076172,161.442153930664,167.829483032227,165.453750610352,166.492630004883,5.17224788665771
492.980010986328,154.511001586914,153.354537963867,158.321197509766,158.284439086914,158.84912109375,160.077407836914,165.996841430664,165.329376220703,162.905868530273,4.43368530273438
494.019989013672,146.018814086914,153.509582519531,152.562423706055,154.768981933594,157.274963378906,158.315505981445,160.889877319336,154.223175048828,156.772048950195,4.29442262649536
495.070007324219,143.225006103516,153.462554931641,152.543838500977,157.587615966797,156.81135559082,157.551681518555,161.628143310547,160.203643798828,158.042678833008,4.06393909454346
495.970001220703,149.350479125977,152.872100830078,150.878616333008,153.517776489258,155.318069458008,154.180099487305,161.334411621094,152.989822387695,156.638305664062,3.78230428695679
497.010009765625,140.329956054688,147.068695068359,151.2412109375,151.639739990234,154.227966308594,153.123931884766,157.849990844727,155.941360473633,151.917495727539,3.73341250419617
498.049987792969,140.562515258789,141.611694335938,143.501739501953,153.072463989258,149.666275024414,143.696578979492,155.490142822266,155.019729614258,149.92692565918,3.5118408203125
498.950012207031,134.378601074219,143.621566772461,138.462203979492,147.127746582031,147.677551269531,147.998046875,149.797210693359,150.52799987793,148.609680175781,3.13818860054016
500,135.519607543945,137.019073486328,136.633422851562,146.173294067383,149.846282958984,143.227279663086,151.302703857422,143.389801025391,143.647216796875,3.05278706550598
501.059997558594,131.114166259766,135.568710327148,135.633865356445,142.853530883789,147.57307434082,141.587005615234,143.455642700195,140.892822265625,143.99626159668,2.7775616645813
501.959991455078,129.193313598633,136.404083251953,135.052597045898,139.316879272461,141.790145874023,137.805816650391,141.52815246582,137.511947631836,144.101837158203,2.46858763694763
503.029998779297,120.044746398926,134.028945922852,128.290115356445,139.614547729492,137.345657348633,141.129592895508,143.274856567383,139.460174560547,135.803741455078,2.3206512928009
503.929992675781,124.73397064209,129.022857666016,132.268280029297,135.6923828125,135.116897583008,137.877944946289,140.234954833984,133.394958496094,137.168975830078,2.17789006233215
505,117.443511962891,126.094627380371,127.621101379395,133.010925292969,133.683624267578,129.216125488281,130.505477905273,138.133712768555,130.905471801758,1.94597661495209
