Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
461.9599915,154.336319,461.9599915,155.6746979,461.9599915,155.2081757,461.9599915,162.5991669,461.9599915,165.5157928,461.9599915,164.1791077,461.9599915,166.2800903,461.9599915,169.3969421,461.9599915,156.8498077,461.9599915,7.847312927,
463.0299988,155.0527649,463.0299988,158.9091492,463.0299988,156.9837646,463.0299988,161.1955109,463.0299988,162.1818237,463.0299988,161.8308716,463.0299988,169.1224518,463.0299988,171.7168274,463.0299988,155.1075134,463.0299988,7.749063969,
463.9299927,156.3315277,463.9299927,156.9508514,463.9299927,154.4616852,463.9299927,162.3343658,463.9299927,163.0730591,463.9299927,160.7167664,463.9299927,166.7602539,463.9299927,168.4056854,463.9299927,157.8092346,463.9299927,7.221946239,
465,159.1620178,465,159.6818237,465,153.0461578,465,164.3574066,465,161.5795593,465,162.3076019,465,165.0260315,465,173.4338226,465,162.205368,465,7.063378811,
466.0599976,155.0502319,466.0599976,161.9934235,466.0599976,152.448822,466.0599976,163.0705414,466.0599976,165.5579376,466.0599976,159.4477844,466.0599976,168.3022614,466.0599976,169.745163,466.0599976,162.8363647,466.0599976,6.851430893,
466.9599915,155.3621216,466.9599915,165.3058777,466.9599915,153.8012543,466.9599915,161.7986145,466.9599915,161.8921967,466.9599915,163.3741455,466.9599915,167.4083557,466.9599915,172.9199371,466.9599915,162.7530823,466.9599915,6.408671856,
468.0299988,157.1669769,468.0299988,163.390152,468.0299988,159.7093048,468.0299988,167.022995,468.0299988,166.8262024,468.0299988,162.2152863,468.0299988,170.8982697,468.0299988,172.6522217,468.0299988,163.2380524,468.0299988,6.247499943,
468.9299927,155.9640198,468.9299927,156.7282867,468.9299927,155.9627991,468.9299927,165.7863159,468.9299927,165.8501892,468.9299927,162.7137299,468.9299927,171.3882599,468.9299927,178.70224,468.9299927,164.4404602,468.9299927,6.466939449,
470,153.946991,470,158.4468384,470,156.3778534,470,159.3868561,470,162.9522552,470,164.3512268,470,173.1725159,470,175.917923,470,167.1697998,470,6.553007126,
471.0599976,160.1345367,471.0599976,162.3048553,471.0599976,160.0152283,471.0599976,167.5283356,471.0599976,161.8216858,471.0599976,163.319809,471.0599976,165.8561096,471.0599976,176.5014038,471.0599976,164.7852325,471.0599976,6.277083397,
