Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
52.00083542,33.22847748,52.02183533,352.997467,52.04350281,317.4006958,52.06387711,283.5322266,52.08506393,297.0932312,52.10595703,284.8596191,
53.00083542,33.5459671,53.02183533,357.6410217,53.04231262,323.0584412,53.06383514,292.6512451,53.08412552,294.9865723,53.10448074,283.4286194,
54.00083542,31.54538918,54.02099991,350.3687134,54.04304123,305.6867065,54.06372833,295.7346802,54.08495712,292.3423462,54.10578918,284.4685059,
55.00083542,35.03697205,55.02129364,352.4854736,55.04172897,313.0257874,55.06262589,291.9796143,55.08379364,287.8339844,55.10414505,290.7979431,
56.00083542,31.52061272,56.02081299,356.5279541,56.04114532,310.0497437,56.06214523,290.5584717,56.08316803,297.489563,56.10433197,279.2577209,
57.00083542,35.24073029,57.02245712,344.6766357,57.04295731,306.3634949,57.06348038,293.2027588,57.08481598,294.2268372,57.10531235,291.4484863,
58.00083542,32.43628311,58.02148056,342.5122986,58.04298019,304.4757996,58.06348038,287.9580688,58.08414841,295.6579285,58.10466766,286.4212952,
59.00083542,32.68937302,59.02164841,359.7556458,59.04298019,314.9661865,59.06331253,286.4715576,59.08464813,304.9486389,59.10528946,289.092926,
60.00083542,31.98456001,60.02029037,348.8139648,60.04145813,304.5525513,60.06229401,293.5306702,60.08295822,283.2106323,60.10362625,286.1313171,
61.00083542,31.97484016,61.02166748,347.3851929,61.0425415,307.5327148,61.06320953,288.7789307,61.08362579,291.0754395,61.10481262,287.0601807,
62.00083542,35.21412659,62.02095795,353.6599121,62.0424614,300.9311829,62.06296158,290.0484314,62.08333206,289.7210388,62.1046257,294.8374329,
63.00083542,35.11385345,63.02231598,352.9692993,63.04264832,308.1035767,63.06414413,295.5582886,63.0850029,296.4512329,63.10595703,284.0429688,
64.0008316,34.16734314,64.02095795,347.9142761,64.04172516,303.5960693,64.0623703,289.1352234,64.0832901,292.4255066,64.10431671,287.5638733,
65.0008316,30.68394279,65.02245331,359.0585327,65.04328918,301.3827515,65.0634613,279.4727478,65.08462524,283.2615967,65.10595703,285.6752319,
66.0008316,33.16002655,66.0219574,349.369873,66.04322815,303.5151367,66.06356049,296.1944885,66.08462524,295.4053345,66.10562134,285.9223328,
67.0008316,32.88843536,67.02062225,349.6524048,67.04114532,310.8303833,67.06181335,279.2453003,67.08289337,287.7694092,67.10370636,277.9636841,
68.0008316,32.15285492,68.02166748,363.5636902,68.04197693,301.5678101,68.0626297,290.9124451,68.08350372,283.5577393,68.10387421,289.1784973,
69.0008316,35.3826828,69.0212326,356.5804749,69.04273224,300.5030823,69.06347656,283.0515747,69.08397675,294.5131531,69.10504913,288.3502808,
70.0008316,33.1523056,70.02295685,357.4499512,70.04396057,301.0357056,70.0651474,298.3626099,70.08547974,284.979187,70.10697937,284.5965881,
71.0008316,31.59581184,71.02112579,347.1958008,71.04214478,303.7628784,71.06233978,296.0334473,71.08370972,293.4478455,71.10489655,294.9342346,
